Country,Year,gdpgrowth,gini,wealth,gii,ruleoflaw,lnpovhead215,lngovt,lntradeopen,fii,lninflation,lnenrollment,electricity_lag5,account_ownership_lag5,bank_branches_lag7,domestic_credit_lag7,internet_users_lag4,mobile_subscriptions_lag4,urban_population_lag5
Mexico,2015,2.70232342550646,47.9,0.7160000000000001,0.379,-0.454765856266022,1.4016801904532674,2.55732390562791,4.268479570991753,0.4610365467559242,1.313895871102522,4.624798967655456,99.2,27.43,14.1722031292067,19.7553753221619,37.2,82.85839199,77.815
Mexico,2016,1.77249323845399,46.9,0.7126,0.37,-0.579800665378571,1.1939224684724346,2.5316057793620885,4.339775278071655,0.47679981229068,1.340697403199035,4.643153291391922,99.0,27.43,13.9206230360155,21.6119225648182,39.8,87.0169211,78.111
Mexico,2017,1.87172853327193,46.45,0.7159,0.372,-0.584648728370667,1.1293166027324313,2.502719353352436,4.356094869547823,0.4692711145055296,1.9518151430947281,4.664478023255407,99.1,31.33333333333333,14.362238415439,22.3237750257634,43.5,91.01095461,78.405
Mexico,2018,1.97208210249194,46.0,0.7210000000000001,0.365,-0.641221523284912,1.0647107369924282,2.5060398271692508,4.397071166746735,0.4835049161153596,1.774842201381964,4.672498434232836,99.1,35.236666666666665,14.6884896365235,23.5848328387345,44.4,88.37316756,78.699
Mexico,2019,-0.392690521579212,45.3,0.7166,0.366,-0.657918453216553,1.0980564242417645,2.4938583884079093,4.362614077725815,0.4949885333492394,1.5338436038877603,4.668291544749106,99.2,39.14,15.1544084982621,24.9270563810171,57.4,89.62827659,78.993
Mexico,2020,-8.3540345574586,44.6,0.7123,0.368,-0.642182171344757,1.1314021114911006,2.5799766703545703,4.354842415627465,0.4940283366485396,1.480884771884449,4.6403591572813,99.0,38.403333333333336,15.0730387027575,27.859059328804,59.5,91.94482417,79.285
Mexico,2021,6.04848344290505,44.05,0.7106,0.365,-0.807996511459351,0.9599297359276854,2.518078137975378,4.4316414304106,0.4909065396793428,1.900495552766378,4.598349492501882,99.5,37.66666666666666,14.9443656169499,28.1836821076474,53.0,93.07232465,79.577
Mexico,2022,3.68911109348025,43.5,0.7048,0.361,-0.869425058364868,0.7884573603642702,2.4925754005274077,4.492976258741904,0.5019561568173145,2.185632783753524,4.598726050941184,100.0,36.93,14.1165081939731,30.8304978674097,56.7,96.89668563,79.867
Mexico,2023,3.19998116598492,43.5,0.7016,0.88,-0.806393921375275,0.7884573603642702,2.49627717930627,4.306194926646965,0.5054627972346764,1.8760946239465228,4.598726050941184,99.5,36.93,14.1936498746495,32.9508423866166,69.6,97.561569,80.156
Peru,2003,4.16502313666112,53.1,0.7139,0.45,-0.588656902313232,2.7536607123542622,2.527224854817335,3.6538896464964736,0.1663086963038641,1.1815362365430646,4.374509437540062,72.072063,28.630000000000003,10.192834737113252,21.025323363273,1.95,3.859914577,72.216
Peru,2004,4.95820320611745,49.9,0.7018,0.452,-0.545422077178955,2.8507065015037334,2.5060383936137716,3.7597124577703696,0.1663086963038641,1.5395460371619578,4.415501176528276,74.078523,28.630000000000003,10.192834737113252,24.4097995545657,3.08,4.779155172,72.631
Peru,2005,6.28506032509601,50.4,0.6952,0.448,-0.700787901878357,2.9338568698359038,2.521279741907651,3.8786175543329655,0.1363623959560628,0.9617618468984339,4.428138658912059,72.5,28.63,10.192834737113252,28.1910496598723,7.58,6.638127117,73.042
Peru,2006,7.5288990440594,50.3,0.7028,0.414,-0.70465487241745,2.8094026953624978,2.477940365508187,3.96622812098972,0.1544129911075759,1.0993646763828702,4.462541314409613,72.1,28.63,10.192834737113252,28.9773282546112,8.97,8.43967421,73.448
Peru,2007,8.5183877690955,50.0,0.7030000000000001,0.41,-0.751626133918762,2.653241964607215,2.438428960571451,4.0375645464925825,0.1844897166372084,1.0224460524402013,4.495922322944205,74.4,28.63,10.192834737113252,26.3416775572587,11.6,10.60821354,73.85
Peru,2008,9.1265683014642,47.5,0.6931,0.406,-0.730335593223572,2.4765384001174837,2.4310541000379566,4.084862539425668,0.2264260574551549,1.914843390637648,4.509072716677404,74.4,28.629999999999995,10.192834737113252,23.4478078840921,14.1,14.67186871,74.249
Peru,2009,1.0958236592427,47.0,0.6849000000000001,0.403,-0.624266803264618,2.2823823856765264,2.523033495279324,3.8941019709785376,0.2257260783487154,1.3702238026547409,4.548228145293967,75.7,28.630000000000003,4.15933021749164,22.2020482940238,17.1,19.83622779,74.644
Peru,2010,8.33245910749577,45.5,0.6858000000000001,0.396,-0.566099524497986,2.0541237336955462,2.4445911176714037,3.964099362944784,0.2485296451548237,0.9275552868075073,4.572195780904606,77.2,28.63,4.15933021749164,19.9857411626907,20.7,32.13408596,75.034
Peru,2011,6.32719240161117,44.7,0.6841,0.408,-0.580825686454773,2.0149030205422647,2.430305387371979,4.042845637639036,0.2773092368602334,1.4746053200936677,4.586115665935889,80.2,28.629999999999995,4.15933021749164,17.9102399219746,25.2,53.90572862,75.421
Peru,2012,6.13972470560435,44.4,0.6781,0.405,-0.58197021484375,1.9600947840472698,2.4741163386081624,3.9819201794905252,0.3068003120898545,1.5284909350689557,4.574591181968569,82.0,28.63,4.28499267328807,19.066421608863,30.6,72.73380352,75.803
Peru,2013,5.85251821084928,43.9,0.6892,0.404,-0.574419617652893,1.8562979903656263,2.525803114082761,3.9276432211146957,0.3318601161933584,1.3265169308656377,4.625385463417032,84.7,28.63,4.45797770518099,20.8131640208248,31.4,85.14627675,76.052
Peru,2014,2.38215737180541,43.1,0.6696000000000001,0.393,-0.522552609443665,1.7578579175523736,2.5954106929960377,3.868136342340037,0.3774107531806189,1.4843158162012535,4.608114836115442,86.4,20.46,5.1266936706306,24.6070736917389,34.8,99.60853686,76.241
Peru,2015,3.25224477218451,43.4,0.6861,0.391,-0.499649614095688,1.7404661748405046,2.6365952569089988,3.832173600667885,0.4752401967597493,1.4811707985677527,4.6110952858522,88.1,20.46,6.6298100559419,29.7639607500021,36.0,110.1218612,76.43
Peru,2016,3.95331871520767,43.6,0.6874,0.37,-0.496036291122437,1.7227665977411035,2.6506815630624296,3.8370589388529397,0.4865244953789716,1.5167032729004772,4.628346339932469,89.7,20.46,6.74316089961862,30.0145290325562,38.2,98.78481683,76.617
Peru,2017,2.51883544233135,43.3,0.7035,0.365,-0.523281574249268,1.7047480922384253,2.654106041625994,3.8818431478287816,0.4855358771050132,1.3850186622856435,4.61719333576383,91.1,23.3,6.84419654543567,30.261687153432,39.2,99.18268397,76.804
Peru,2018,3.969351341365,42.4,0.6945,0.365,-0.56674337387085,1.5260563034950492,2.6445736932479504,3.9046251118028805,0.4988980562494534,0.919945736299106,4.601257741935504,92.1,26.14,7.10325436850144,32.3092275000503,40.2,105.0276552,76.989
Peru,2019,2.24063176875049,41.5,0.6717000000000001,0.367,-0.520058035850525,1.3862943611198906,2.656361922420464,3.8700233463881872,0.5160922807173984,1.1793076797836977,4.592115138906677,92.9,28.98,7.72711349614699,34.0437468209084,40.9,111.4742209,77.173
Peru,2020,-10.9333065010382,43.7,0.7090000000000001,0.373,-0.382843524217606,1.916922612182061,2.8224558680424856,3.8121135434724813,0.5448114591227418,1.099415984815462,4.590389397728706,93.9,33.52,7.88992227817477,37.7199291764532,45.5,118.631109,77.357
Peru,2021,13.3552295093079,40.1,0.6978000000000001,0.342,-0.532514691352844,1.33500106673234,2.691125370729833,4.0302371459818795,0.5589242548855845,1.6623460272170159,4.596783215275084,94.2,38.06,8.20784612815067,40.8996268175973,50.5,123.1285796,77.539
Peru,2022,2.72550021563363,40.3,0.6910000000000001,0.341,-0.552831411361694,1.308332819650179,2.665278970143438,4.064762520358577,0.5726761398923679,2.2336321815260725,4.6063893064502635,94.8,42.6,8.34542168801821,43.8679314540477,55.1,130.8994047,77.72
Peru,2023,-0.55018230632048,40.3,0.6910000000000001,0.83,-0.538132667541504,1.308332819650179,2.6860545254328247,3.9495019779109235,0.5775930349844343,2.008967236406504,4.671925591206723,95.2,42.6,8.16745728279023,42.8090253456419,60.0,121.3854737,77.907
Costa Rica,2003,4.31717986636224,49.3,0.6473,0.365,0.526866555213928,1.7404661748405046,2.740676490380178,4.434710488769806,0.3855874025990254,2.3463704603369657,4.394181242268018,96.9,49.46666666666667,16.501989438975933,33.7930985283336,3.9,3.541727008,57.264
Costa Rica,2004,4.42459959654504,48.4,0.6471,0.355,0.50290322303772,1.7404661748405046,2.706476116230886,4.457325151023206,0.3855874025990254,2.588877326408234,4.394181242268018,96.9,49.46666666666666,16.501989438975933,33.37901074252945,5.8,5.31801431,58.157
Costa Rica,2005,3.97666636818026,47.5,0.6471,0.344,0.497263669967651,1.4586150226995167,2.6750366131732255,4.502280658171729,0.456947836891725,2.694511965409974,4.411237442649513,96.9,49.46666666666666,16.501989438975933,35.02676478352275,9.56,8.066274189,59.052
Costa Rica,2006,7.3266954325067,49.3,0.6472,0.332,0.38971409201622,1.4586150226995167,2.650777031718138,4.508819565864027,0.4422611403485078,2.523373618603241,4.491133889543525,98.2,49.46666666666666,16.501989438975933,48.83479088838887,19.9,12.18830827,60.41
Costa Rica,2007,8.21513198348715,49.3,0.6472,0.334,0.354344755411148,1.0296194171811581,2.625050306624793,4.471142622793419,0.5156117059087411,2.337686232746079,4.507127814926918,98.5,49.46666666666667,16.501989438975933,49.77230288965933,20.3,18.58131934,61.753
Costa Rica,2008,4.73817487754022,48.6,0.647,0.331,0.453689336776733,1.2237754316221157,2.6794775110505626,4.470512590421611,0.5246740519611768,2.6689256228449905,4.5160730337627415,98.7,49.46666666666666,16.501989438975933,51.9798732195109,20.8,21.70532355,63.08
Costa Rica,2009,-0.873455942787785,50.6,0.647,0.325,0.578809499740601,1.252762968495368,2.8182864978704014,4.259284227147212,0.5087726498277658,2.1795924495282795,4.582697260777898,99.0,49.46666666666666,15.9931814755133,58.16765949597061,22.1,25.51746605,64.388
Costa Rica,2010,5.36034352634111,48.0,0.6471,0.315,0.535760879516602,0.9162907318741551,2.869074951418636,4.227010221434133,0.5172760215585397,1.896533375494262,4.614663479667962,99.1,49.46666666666666,15.9931814755133,35.860219133817,25.1,32.97533765,65.672
Costa Rica,2011,4.40315923970431,48.8,0.6469,0.307,0.443259000778198,1.0296194171811581,2.8882492970779037,4.243326859043748,0.5533762931057054,1.7712162804340814,4.638914679330595,99.1,49.46666666666666,15.9931814755133,35.860219133817,28.4,33.96875103,66.935
Costa Rica,2012,4.88259241025739,48.4,0.6496000000000001,0.301,0.528911471366882,0.9932517730102833,2.8786391831441938,4.220221263695862,0.5637079463424284,1.7039210491591157,4.665314309801127,99.2,49.46666666666666,17.8815589398535,35.860219133817,32.3,41.90588862,68.174
Costa Rica,2013,2.49476611209954,49.2,0.6542,0.293,0.563855290412903,0.9555114450274363,2.8975784571530867,4.175408449667034,0.6038327668429493,1.8295907787839982,4.7184520039161395,99.3,49.46666666666666,18.4731734883749,37.8629840925686,34.3,42.74082225,69.39
Costa Rica,2014,3.54210987765977,48.6,0.6487,0.303,0.583374798297882,0.9162907318741551,2.8909995191562268,4.192548158922845,0.6256283989670814,1.7082331007483582,4.759178076952416,99.4,50.36,20.5746430650479,43.7723776439847,36.5,67.68068898,70.575
Costa Rica,2015,3.65208096802883,48.4,0.6561,0.282,0.492798924446106,0.9555114450274363,2.8881605323862622,4.123151657075582,0.6242760990637297,0.5888871730650436,4.778419738423431,99.0,50.36,20.2959684255709,49.3806062420387,39.2,88.74215105,71.736
Costa Rica,2016,4.20432325175899,48.7,0.6636000000000001,0.278,0.431041657924652,0.832909122935104,2.874054862850148,4.145963707980795,0.6804912180947553,-0.017327852458462082,4.795745587905985,99.2,50.36,19.8903948433785,47.6533510789576,47.5,113.5432338,72.868
Costa Rica,2017,4.1576989627609,48.3,0.6524,0.273,0.42886871099472,0.7884573603642702,2.854063556690724,4.190744356421623,0.6943058139633157,0.9654263334845637,4.826992796885153,99.5,55.09,19.969542855501,44.3141331651118,46.0,148.4280298,73.946
