codeindyr;code;countryname;year;indicator;estimate;stddev;nsource;pctrank;pctranklower;pctrankupper
FJIcc1996;FJI;Fiji;1996;cc;0.659302592277527;0.340506970882416;2;73.6559143066406;59.677417755127;84.4085998535156
FINcc1996;FIN;Finland;1996;cc;2.20687246322632;0.210325092077255;6;99.4623641967773;93.0107498168945;100
FRAcc1996;FRA;France;1996;cc;1.24740922451019;0.210325092077255;6;84.9462356567383;80.6451644897461;91.3978500366211
GUFcc1996;GUF;French Guiana;1996;cc;0.869897186756134;0.480888694524765;1;80.1075286865234;59.1397857666016;91.3978500366211
GABcc1996;GAB;Gabon;1996;cc;-1.10237693786621;0.262076586484909;4;13.978494644165;0.537634432315826;30.6451606750488
GMBcc1996;GMB;Gambia, The;1996;cc;-0.374195218086243;0.315914034843445;3;43.5483856201172;19.3548393249512;60.7526893615723
GEOcc1996;GEO;Georgia;1996;cc;-1.52726411819458;0.340506970882416;2;1.07526886463165;0;17.7419357299805
DEUcc1996;DEU;Germany;1996;cc;1.90521681308746;0.210325092077255;6;94.0860214233398;90.8602142333984;100
GHAcc1996;GHA;Ghana;1996;cc;-0.339949548244476;0.262076586484909;4;46.2365608215332;25.8064517974854;59.677417755127
GRCcc1996;GRC;Greece;1996;cc;0.338654190301895;0.210325092077255;6;64.5161285400391;56.9892463684082;74.7311859130859
GRLcc1996;GRL;Greenland;1996;cc;..;..;..;..;..;..
GRDcc1996;GRD;Grenada;1996;cc;0.869897186756134;0.480888694524765;1;80.1075286865234;59.1397857666016;91.3978500366211
GUMcc1996;GUM;Guam;1996;cc;..;..;..;..;..;..
GTMcc1996;GTM;Guatemala;1996;cc;-0.85694420337677;0.244906529784203;5;23.6559143066406;6.45161294937134;38.7096786499023
GINcc1996;GIN;Guinea;1996;cc;-0.93994152545929;0.315914034843445;3;18.2795696258545;2.15053772926331;41.3978500366211
GNBcc1996;GNB;Guinea-Bissau;1996;cc;-1.19465482234955;0.315914034843445;3;8.06451606750488;0;30.6451606750488
GUYcc1996;GUY;Guyana;1996;cc;-0.140642017126083;0.315914034843445;3;52.6881713867187;31.1827964782715;65.0537643432617
HTIcc1996;HTI;Haiti;1996;cc;-1.1732771396637;0.315914034843445;3;9.13978481292725;0;31.1827964782715
HNDcc1996;HND;Honduras;1996;cc;-1.07881093025208;0.244906529784203;5;14.5161294937134;2.15053772926331;30.6451606750488
HKGcc1996;HKG;Hong Kong SAR, China;1996;cc;1.44489419460297;0.20495143532753;6;89.7849426269531;81.1827926635742;93.0107498168945
HUNcc1996;HUN;Hungary;1996;cc;0.666908204555511;0.210325092077255;6;74.1935501098633;63.440860748291;81.1827926635742
ISLcc1996;ISL;Iceland;1996;cc;1.73311007022858;0.235270246863365;5;93.0107498168945;87.634407043457;97.8494644165039
INDcc1996;IND;India;1996;cc;-0.381090342998505;0.188621625304222;7;43.0107536315918;29.5698928833008;53.7634391784668
IDNcc1996;IDN;Indonesia;1996;cc;-0.864106297492981;0.188621625304222;7;22.0430107116699;8.60215091705322;34.4086036682129
IRNcc1996;IRN;Iran, Islamic Rep.;1996;cc;-0.480606764554977;0.262076586484909;4;37.634407043457;18.8172035217285;54.3010749816895
IRQcc1996;IRQ;Iraq;1996;cc;-1.60218346118927;0.262076586484909;4;0.537634432315826;0;9.13978481292725
IRLcc1996;IRL;Ireland;1996;cc;1.70890808105469;0.210325092077255;6;91.9354858398437;88.7096786499023;96.2365570068359
ISRcc1996;ISR;Israel;1996;cc;1.35400760173798;0.210325092077255;6;88.1720428466797;81.1827926635742;91.3978500366211
ITAcc1996;ITA;Italy;1996;cc;0.407847583293915;0.210325092077255;6;67.2042999267578;59.1397857666016;76.3440856933594
JAMcc1996;JAM;Jamaica;1996;cc;0.187061369419098;0.262076586484909;4;61.8279571533203;49.4623641967773;73.118278503418
JPNcc1996;JPN;Japan;1996;cc;1.19231188297272;0.188621625304222;7;84.4085998535156;80.1075286865234;90.3225784301758
JEYcc1996;JEY;Jersey, Channel Islands;1996;cc;..;..;..;..;..;..
JORcc1996;JOR;Jordan;1996;cc;-0.0354074910283089;0.244906529784203;5;55.3763427734375;39.7849464416504;65.0537643432617
KAZcc1996;KAZ;Kazakhstan;1996;cc;-1.13282036781311;0.275613814592361;3;12.3655910491943;0.537634432315826;30.1075267791748
KENcc1996;KEN;Kenya;1996;cc;-1.15884947776794;0.262076586484909;4;10.7526884078979;0.537634432315826;27.4193553924561
KIRcc1996;KIR;Kiribati;1996;cc;..;..;..;..;..;..
PRKcc1996;PRK;Korea, Dem. Rep.;1996;cc;-1.28434658050537;0.315914034843445;3;4.83870983123779;0;25.8064517974854
KORcc1996;KOR;Korea, Rep.;1996;cc;0.382197439670563;0.188621625304222;7;65.5914001464844;59.1397857666016;74.7311859130859
KSVcc1996;KSV;Kosovo;1996;cc;..;..;..;..;..;..
KWTcc1996;KWT;Kuwait;1996;cc;0.478682190179825;0.262076586484909;4;70.4301071166992;59.1397857666016;80.6451644897461
KGZcc1996;KGZ;Kyrgyz Republic;1996;cc;-0.993923425674438;0.340506970882416;2;17.2043018341064;0.537634432315826;39.7849464416504
LAOcc1996;LAO;Lao PDR;1996;cc;-0.722833931446075;0.340506970882416;2;28.4946231842041;4.83870983123779;50.5376358032227
LVAcc1996;LVA;Latvia;1996;cc;-0.203338757157326;0.275613814592361;3;50;31.1827964782715;62.9032249450684
LBNcc1996;LBN;Lebanon;1996;cc;-0.659695029258728;0.262076586484909;4;31.1827964782715;13.978494644165;49.4623641967773
LSOcc1996;LSO;Lesotho;1996;cc;0.0865449383854866;0.340506970882416;2;59.677417755127;38.7096786499023;73.118278503418
LBRcc1996;LBR;Liberia;1996;cc;-1.50014114379883;0.315914034843445;3;2.15053772926331;0;17.2043018341064
LBYcc1996;LBY;Libya;1996;cc;-0.871937036514282;0.262076586484909;4;20.4301071166992;3.76344084739685;39.2473106384277
LIEcc1996;LIE;Liechtenstein;1996;cc;1.31814324855804;0.480888694524765;1;87.0967712402344;72.0430145263672;96.7741928100586
LTUcc1996;LTU;Lithuania;1996;cc;0.421002686023712;0.275613814592361;3;68.2795715332031;55.3763427734375;80.1075286865234
LUXcc1996;LUX;Luxembourg;1996;cc;1.95137453079224;0.269526749849319;4;94.6236572265625;90.3225784301758;100
MACcc1996;MAC;Macao SAR, China;1996;cc;0.421651005744934;0.480888694524765;1;69.3548355102539;44.0860214233398;84.4085998535156
MDGcc1996;MDG;Madagascar;1996;cc;-0.371093899011612;0.315914034843445;3;44.0860214233398;19.3548393249512;60.7526893615723
MWIcc1996;MWI;Malawi;1996;cc;-0.316063106060028;0.262076586484909;4;47.3118286132812;26.3440856933594;60.7526893615723
MYScc1996;MYS;Malaysia;1996;cc;0.383064538240433;0.188621625304222;7;66.129035949707;59.1397857666016;74.7311859130859
MDVcc1996;MDV;Maldives;1996;cc;-0.322940558195114;0.340506970882416;2;46.7741928100586;19.3548393249512;62.9032249450684
MLIcc1996;MLI;Mali;1996;cc;-0.782561779022217;0.315914034843445;3;25.8064517974854;3.76344084739685;48.924732208252
MLTcc1996;MLT;Malta;1996;cc;0.478994995355606;0.418145000934601;2;71.5053787231445;49.4623641967773;83.870964050293
MHLcc1996;MHL;Marshall Islands;1996;cc;..;..;..;..;..;..
MTQcc1996;MTQ;Martinique;1996;cc;0.869897186756134;0.480888694524765;1;80.1075286865234;59.1397857666016;91.3978500366211
MRTcc1996;MRT;Mauritania;1996;cc;-0.555694162845612;0.340506970882416;2;34.4086036682129;12.9032258987427;57.5268821716309
MUScc1996;MUS;Mauritius;1996;cc;0.0346621312201023;0.320798754692078;2;58.0645179748535;36.559139251709;72.5806427001953
MEXcc1996;MEX;Mexico;1996;cc;-0.512428641319275;0.210325092077255;6;36.0215072631836;23.1182804107666;50.5376358032227
FSMcc1996;FSM;Micronesia, Fed. Sts.;1996;cc;..;..;..;..;..;..
MDAcc1996;MDA;Moldova;1996;cc;-0.437426507472992;0.275613814592361;3;39.7849464416504;19.3548393249512;57.5268821716309
MCOcc1996;MCO;Monaco;1996;cc;..;..;..;..;..;..
MNGcc1996;MNG;Mongolia;1996;cc;0.111758477985859;0.315914034843445;3;60.7526893615723;41.3978500366211;73.118278503418
MNEcc1996;MNE;Montenegro;1996;cc;..;..;..;..;..;..
MARcc1996;MAR;Morocco;1996;cc;-0.106926992535591;0.262076586484909;4;53.2258071899414;34.9462356567383;63.440860748291
MOZcc1996;MOZ;Mozambique;1996;cc;-0.424003124237061;0.262076586484909;4;40.8602142333984;23.6559143066406;57.5268821716309
MMRcc1996;MMR;Myanmar;1996;cc;-1.50076675415039;0.262076586484909;4;1.61290323734283;0;14.5161294937134
NAMcc1996;NAM;Namibia;1996;cc;0.808773279190063;0.262076586484909;4;76.881721496582;65.0537643432617;84.4085998535156
NRUcc1996;NRU;Nauru;1996;cc;..;..;..;..;..;..
NPLcc1996;NPL;Nepal;1996;cc;-0.639208674430847;0.340506970882416;2;31.7204303741455;7.5268816947937;53.7634391784668
NLDcc1996;NLD;Netherlands;1996;cc;2.0818977355957;0.210325092077255;6;96.7741928100586;93.0107498168945;100
ANTcc1996;ANT;Netherlands Antilles (former);1996;cc;..;..;..;..;..;..
NZLcc1996;NZL;New Zealand;1996;cc;2.11024570465088;0.210325092077255;6;97.8494644165039;93.0107498168945;100
