Country,Year,GDP growth (annual %),"Population, total",Gini index,"School enrollment, secondary (% gross)",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),General government final consumption expenditure (% of GDP),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Trade Openness (% of GDP),"Inflation, consumer prices (annual %)",Rule of Law - estimate,Rule of Law - pctrank,Inequality Index
Mexico,2017,1.87172853327193,123400057,..,105.11018371582,..,..,11.2156675514112,37.5140886198874,39.438037420838,76.9521260407254,6.04145724018986,-0.584648728370667,30.9523811340332,
Mexico,2018,1.97208210249194,124573711,46,105.964653015137,1.9,7.8,11.256296772473,39.0439304419331,41.1687312149645,80.21266165689761,4.89935015356551,-0.641221523284912,28.0952377319336,
Mexico,2019,-0.392690521579212,125762982,..,105.515609741211,..,..,11.1079031030718,38.5296507981357,38.9323214713109,77.46197226944659,3.63596142127046,-0.657918453216553,26.6666660308838,
Mexico,2020,-8.3540345574586,126799054,44.6,102.58154296875,2.1,8.2,12.1968302786958,39.2353720920404,37.6191836167519,76.8545557087923,3.39683415570006,-0.642182171344757,29.0476188659668,
Mexico,2021,6.04848344290505,127648148,..,98.3202514648438,..,..,11.4047335537777,40.5691931934194,42.5001044268083,83.0692976202277,5.68920847683753,-0.807996511459351,22.8571434020996,
Mexico,2022,3.68911109348025,128613117,43.5,98.3576583862305,1.2,4.7,11.0923787710267,42.7321338900631,45.6549555869321,88.3870894769952,7.8962761916855,-0.869425058364868,20.7547168731689,
Mexico,2023,3.19998116598492,129739759,..,..,..,..,11.1372250364127,35.9817308051803,37.1760448278547,73.157775633035,5.52796087314389,-0.806393921375275,24.056604385376,
Mexico,2024,..,..,..,..,..,..,..,..,..,,4.72225588452932,,,
Peru,1975,4.30086316548426,15333957,..,46.1114501953125,..,..,12.025892379037,10.5626215935701,21.359858303281,31.9224798968511,23.6187352963326,,,
Peru,1976,1.44711099517411,15716809,..,49.1084289550781,..,..,11.8627940384468,11.72908337768,19.6897934079273,31.418876785607303,33.4832756634566,,,
Peru,1977,0.349063699303812,16109806,..,52.0903816223145,..,..,13.70401429264,15.4747805945055,22.1190471008435,37.593827695349,38.0540914196793,,,
Peru,1978,-2.64250297882154,16516059,..,57.323070526123,..,..,10.8648325674039,20.1828888617999,19.5280260814932,39.7109149432931,57.8487826251505,,,
Peru,1979,4.09075057410003,16933139,..,58.7470092773438,..,..,8.38733301614957,27.005023253703,18.5821121745281,45.5871354282311,66.6944229664876,,,
Peru,1980,5.94333539830841,17360949,..,59.7627105712891,..,..,13.3615299026563,25.5205221140736,22.1228759388267,47.643398052900295,59.1450712444914,,,
Peru,1981,5.55204181484046,17798805,..,59.2296409606934,..,..,13.1256120391474,18.561803025361,22.7182468377576,41.280049863118606,75.4332687576064,,,
Peru,1982,-0.2227234441863,18246503,..,58.7064094543457,..,..,13.8129329400685,18.8184767340648,22.251977207739,41.0704539418038,64.4481585387929,,,
Peru,1983,-10.408085798297,18705957,..,60.419750213623,..,..,13.4517636112299,21.7352180455136,21.5015821512132,43.236800196726804,111.150635209157,,,
Peru,1984,3.60828653816966,19174716,..,61.090648651123,..,..,11.7997926413524,21.8165055057893,17.3735558043023,39.1900613100916,110.208519562543,,,
Peru,1985,2.06113206625895,19648204,..,61.7587585449219,..,..,11.7228852406873,26.1450554489082,18.7336540325664,44.8787094814746,163.399505243688,,,
Peru,1986,9.42596236073652,20117122,..,62.2065315246582,..,..,12.4309304720086,16.442611490561,18.0737201247906,34.5163316153516,77.9210255473595,,,
Peru,1987,9.72614643050372,20582320,..,62.8966102600098,..,..,12.2047640228817,12.6654214090224,14.6854869687991,27.3509083778215,85.8223062381846,,,
Peru,1988,-9.44127344629392,21054702,..,63.7444915771484,..,..,8.5077600860946,15.0994904239533,18.122300537411,33.2217909613643,667.019328585961,,,
Peru,1989,-12.3120414471296,21532589,..,65.5274429321289,..,..,8.58435859444137,11.3296364132411,11.2071241874214,22.5367606006625,3398.67901005332,,,
Peru,1990,-4.98256353646605,22014771,..,66.2543411254883,..,..,7.27374848190843,15.697191461944,13.772485437739,29.469676899683,7481.66361124526,,,
Peru,1991,2.2192591027909,22483775,..,65.7239532470703,..,..,7.61217251643866,12.2023866654061,14.4568674464779,26.659254111884003,409.530166622023,,,
Peru,1992,-0.540509124723926,22946340,..,64.518798828125,..,..,7.85955799014648,12.51350576868,15.4637863865267,27.977292155206698,73.5282942442641,,,
Peru,1993,5.24357700773291,23413783,..,64.1740570068359,..,..,7.98563822184906,12.4506751041035,16.3159114665164,28.7665865706199,48.5799864468885,,,
Peru,1994,12.3083661848445,23881493,..,67.4488372802734,..,..,8.79700544740766,12.771482770164,16.1515129997261,28.9229957698901,23.7369050565046,,,
Peru,1995,7.41139504735119,24348919,..,67.6240463256836,..,..,9.87834994969359,12.5998852514905,18.3273325960603,30.9272178475508,11.1287029707089,,,
Peru,1996,2.79897307912609,24811171,..,69.1765289306641,..,..,10.3594236243234,13.3165199179977,18.3376841732667,31.654204091264404,11.5379424115177,-0.696724593639374,28.1407032012939,
Peru,1997,6.47682442079709,25274147,53.3,69.3911972045898,19.8,35.9,10.2385332945999,14.4772602562861,18.9922855943966,33.4695458506827,8.56218948953653,,,
Peru,1998,-0.391537555833821,25738095,55.1,77.0742416381836,19.4,34.9,10.9812652995953,13.7029018488677,19.2501199365259,32.9530217853936,7.24782175213469,-0.738637685775757,28,
Peru,1999,1.49491064308833,26186504,54.8,78.2726364135742,19.3,36.3,11.5489906334077,15.3968880071118,17.8088885487375,33.2057765558493,3.46965996293019,,,
Peru,2000,2.69437139806912,26598331,49.1,80.6369094848633,19.3,35.4,11.4506268550924,16.7683737208169,18.7696584415009,35.538032162317805,3.75733833344474,-0.718046724796295,29.8507461547852,
Peru,2001,0.617892325624297,26964601,51.3,83.6432189941406,20.3,37.5,11.7171706103755,16.6013795219337,18.4630219090874,35.064401431021096,1.97709878502053,,,
Peru,2002,5.45352893818767,27288217,53.6,85.0296936035156,17.5,34.2,11.165025870435,17.2748078529874,17.9743734787821,35.2491813317695,0.193135003853722,-0.557922065258026,36.3184089660645,
Peru,2003,4.16502313666112,27580490,53.1,78.40087890625,14.7,32.3,11.518716629881,19.0146669472489,18.6099433778513,37.62461032510021,2.25937753363072,-0.588656902313232,33.8308448791504,
Peru,2004,4.95820320611745,27852190,49.9,81.7232894897461,16.3,32.8,11.2562792024042,22.91223375085,19.0238445170772,41.9360782679272,3.66247320092233,-0.545422077178955,36.0576934814453,
Peru,2005,6.28506032509601,28101180,50.4,82.7753372192383,17.8,35.2,11.444512241325,26.8487611117093,20.5085563651301,47.3573174768394,1.61630193862544,-0.700787901878357,30.1435413360596,
Peru,2006,7.5288990440594,28324491,50.3,85.7075805664062,15.6,30.4,10.9166950883829,30.536636453521,21.2484195803232,51.7850560338442,2.00225801248819,-0.70465487241745,27.7511959075928,
Peru,2007,8.5183877690955,28530699,50,88.6508178710938,13.2,26.5,10.455030294689,31.5221165305465,24.165996753135,55.6881132836815,1.77998644680372,-0.751626133918762,26.3157901763916,
Peru,2008,9.1265683014642,28719041,47.5,89.8375473022461,10.9,22.7,10.3708617908307,29.7276302098838,28.7061371800215,58.4337673899053,5.78587598206755,-0.730335593223572,25.9615383148193,
Peru,2009,1.0958236592427,28896811,47,93.4648818969727,8.8,20.5,11.466355995307,26.4420527390278,21.669876876324,48.1119296153518,2.936231535967,-0.624266803264618,31.7535552978516,
Peru,2010,8.33245910749577,29086019,45.5,95.7563323974609,6.8,17.8,10.5258359246036,27.8261641521747,23.8466447848286,51.6728089370033,1.52832059732901,-0.566099524497986,34.5971565246582,
Peru,2011,6.32719240161117,29304086,44.7,97.1125869750977,6.5,16.3,10.3623514688753,30.5027597563889,25.4855205274718,55.9882802838607,3.36931095333853,-0.580825686454773,32.3943672180176,
Peru,2012,6.13972470560435,29550366,44.4,95.9883804321289,6.1,14.8,10.8712123448481,27.4496143710972,25.1702808921321,52.6198952632293,3.61121294940163,-0.58197021484375,34.2723007202148,
Peru,2013,5.85251821084928,29817919,43.9,101.042098999023,5.4,14,11.5009309068431,24.8082994208508,24.9788430262935,49.787142447144305,2.76789666082002,-0.574419617652893,34.2723007202148,
Peru,2014,2.38215737180541,30115826,43.1,99.2948989868164,4.8,13.1,12.4020903759554,22.6069703758151,24.2461507154749,46.85312109129,3.41194579807465,-0.522552609443665,34.1346168518066,
Peru,2015,3.25224477218451,30457600,43.4,99.5942687988281,4.7,12.8,12.9655733799238,21.2873252858958,23.875443403219,45.1627686891148,3.39809194746308,-0.499649614095688,37.1428565979004,
