COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,Year,Value
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2018.0,0.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2019.0,
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2020.0,
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2021.0,
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2022.0,
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2023.0,
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2004.0,28.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2005.0,75.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2006.0,75.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2007.0,89.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2008.0,87.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2009.0,87.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2010.0,59.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2011.0,59.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2012.0,59.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2013.0,60.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2014.0,60.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2015.0,60.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2016.0,76.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2017.0,81.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2018.0,83.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2019.0,81.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2020.0,86.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2021.0,88.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2022.0,89.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2023.0,83.0
Argentina,"Deposit accounts, Commercial banks",Number,2004.0,16181859.0
Argentina,"Deposit accounts, Commercial banks",Number,2005.0,18872698.0
Argentina,"Deposit accounts, Commercial banks",Number,2006.0,19347278.0
Argentina,"Deposit accounts, Commercial banks",Number,2007.0,22635464.0
Argentina,"Deposit accounts, Commercial banks",Number,2008.0,23909280.0
Argentina,"Deposit accounts, Commercial banks",Number,2009.0,25798459.0
Argentina,"Deposit accounts, Commercial banks",Number,2010.0,27580772.0
Argentina,"Deposit accounts, Commercial banks",Number,2011.0,29690946.0
Argentina,"Deposit accounts, Commercial banks",Number,2012.0,34366986.0
Argentina,"Deposit accounts, Commercial banks",Number,2013.0,37413275.0
Argentina,"Deposit accounts, Commercial banks",Number,2014.0,40377119.0
Argentina,"Deposit accounts, Commercial banks",Number,2015.0,46073153.0
