COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,year,value
Argentina,"Branches excluding headquarters, Commercial banks",Number,2005,3669.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2006,3720.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2007,3762.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2008,3796.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2009,3809.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2010,3869.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2011,3957.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2012,4037.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2013,4098.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2014,4147.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2015,4215.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2016,4330.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2017,4414.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2018,4449.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2019,4492.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2020,4466.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2021,4481.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2022,4497.0
Argentina,"Branches excluding headquarters, Commercial banks",Number,2023,4405.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2004,1.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2005,1.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2006,1.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2007,1.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2008,1.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2009,1.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2010,1.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2011,1.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2012,1.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2013,0.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2014,0.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2015,0.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2016,0.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2017,0.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2018,0.0
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2019,
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2020,
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2021,
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2022,
Argentina,"Branches excluding headquarters, Credit unions and credit cooperatives",Number,2023,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2004,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2005,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2006,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2007,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2008,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2009,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2010,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2011,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2012,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2013,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2014,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2015,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2016,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2017,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2018,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2019,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2020,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2021,
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2022,
