countryname,year,estimate,stddev,nsource,pctrank,pctranklower,pctrankupper
Brazil,2002,-0.266611307859421,0.173195272684097,11,43.7810935974121,36.3184089660645,54.2288551330566
Chile,2002,1.25724005699158,0.174584195017815,10,87.0646743774414,81.592041015625,92.5373153686523
Colombia,2002,-0.749073088169098,0.173195272684097,11,28.3582096099854,16.9154224395752,38.3084564208984
Costa Rica,2002,0.554997205734253,0.183887630701065,10,66.1691513061523,58.2089538574219,77.6119384765625
Cuba,2002,-1.17397427558899,0.197347983717918,8,11.9402980804443,3.98009943962097,23.3830852508545
Dominican Republic,2002,-0.705224692821503,0.186060398817062,9,30.8457717895508,16.9154224395752,38.8059692382812
Ecuador,2002,-0.756515443325043,0.185552552342415,9,27.8606967926025,16.9154224395752,38.3084564208984
El Salvador,2002,-0.566521048545837,0.183887630701065,10,35.3233833312988,22.8855724334717,44.2786064147949
Guatemala,2002,-0.990891993045807,0.183887630701065,10,17.9104480743408,8.4577112197876,31.343282699585
Guyana,2002,-0.517882883548737,0.271534740924835,5,36.8159217834473,18.9054718017578,49.7512435913086
Haiti,2002,-1.7139093875885,0.225846767425537,8,1.49253726005554,0,6.96517419815063
Honduras,2002,-0.879591941833496,0.183887630701065,10,22.3880596160889,11.4427862167358,34.3283576965332
Mexico,2002,-0.349208414554596,0.173195272684097,11,40.7960205078125,33.8308448791504,50.2487564086914
Nicaragua,2002,-0.677636325359344,0.183887630701065,10,32.3383102416992,17.9104480743408,40.2985076904297
Panama,2002,-0.0883368402719498,0.193381980061531,8,49.2537307739258,38.8059692382812,57.7114410400391
Paraguay,2002,-1.12330663204193,0.185552552342415,9,13.9303483963013,5.47263669967651,25.3731346130371
Peru,2002,-0.557922065258026,0.185552552342415,9,36.3184089660645,22.8855724334717,45.2736320495605
Puerto Rico,2002,0.948852479457855,0.381930857896805,1,81.592041015625,60.6965179443359,92.5373153686523
Suriname,2002,-0.127914935350418,0.266395717859268,6,48.756217956543,35.3233833312988,60.1990051269531
Uruguay,2002,0.674292743206024,0.185552552342415,9,68.1592025756836,61.6915435791016,81.592041015625
Argentina,2003,-0.777115821838379,0.172536686062813,11,26.3681583404541,16.4179096221924,38.8059692382812
Belize,2003,0.190566956996918,0.272618442773819,4,58.2089538574219,44.2786064147949,68.1592025756836
Bolivia,2003,-0.46946907043457,0.185575753450394,10,39.8009948730469,26.3681583404541,48.2587051391602
Brazil,2003,-0.367893666028976,0.172536686062813,11,42.7860679626465,29.3532333374023,49.7512435913086
Chile,2003,1.17721080780029,0.172536686062813,11,85.0746231079102,79.6019897460937,90.0497512817383
Colombia,2003,-0.739117562770844,0.172536686062813,11,27.8606967926025,16.9154224395752,39.8009948730469
Costa Rica,2003,0.526866555213928,0.185575753450394,10,65.6716384887695,58.7064666748047,73.1343307495117
Cuba,2003,-1.22319900989532,0.200474232435226,8,11.4427862167358,3.48258709907532,21.8905467987061
Dominican Republic,2003,-0.640382707118988,0.189340472221375,9,29.8507461547852,18.4079608917236,43.2835807800293
Ecuador,2003,-0.780572593212128,0.185575753450394,10,25.8706474304199,15.4228858947754,39.3034820556641
El Salvador,2003,-0.516855239868164,0.185575753450394,10,37.8109436035156,24.8756217956543,45.2736320495605
Guatemala,2003,-1.1009407043457,0.185059979557991,11,14.9253730773926,6.46766185760498,25.3731346130371
Guyana,2003,-0.575900852680206,0.254073470830917,6,34.3283576965332,16.9154224395752,48.2587051391602
Haiti,2003,-1.73716354370117,0.225466921925545,8,0.995024859905243,0,6.96517419815063
Honduras,2003,-0.936451733112335,0.185575753450394,10,19.4029846191406,9.95024871826172,30.348258972168
Mexico,2003,-0.377902716398239,0.172536686062813,11,42.2885589599609,29.3532333374023,49.7512435913086
Nicaragua,2003,-0.560249149799347,0.185059979557991,11,34.825870513916,22.8855724334717,44.2786064147949
